Payment Date,Total Payments Value,day_of_week,day_of_month,month,year,days_since_start
2025-04-17,66868.1,3,17,4,2025,351
2025-04-18,59209.22,4,18,4,2025,352
2025-04-19,22193.5,5,19,4,2025,353
2025-04-20,25138.95,6,20,4,2025,354
2025-04-21,98831.45000000001,0,21,4,2025,355
2025-04-22,55075.0,1,22,4,2025,356
2025-04-23,32946.2,2,23,4,2025,357
2025-04-24,51695.36,3,24,4,2025,358
2025-04-25,89860.83,4,25,4,2025,359
2025-04-26,22576.89,5,26,4,2025,360
2025-04-27,40507.47,6,27,4,2025,361
2025-04-28,147027.61000000002,0,28,4,2025,362
2025-04-29,23810.190000000002,1,29,4,2025,363
2025-04-30,62524.38,2,30,4,2025,364
2025-05-01,86695.68,3,1,5,2025,365
2025-05-02,56582.71000000001,4,2,5,2025,366
2025-05-03,32817.880000000005,5,3,5,2025,367
2025-05-04,25893.93,6,4,5,2025,368
2025-05-05,73104.54,0,5,5,2025,369
2025-05-06,37611.66,1,6,5,2025,370
2025-05-07,95267.1,2,7,5,2025,371
2025-05-08,57323.74,3,8,5,2025,372
2025-05-09,58798.28,4,9,5,2025,373
2025-05-10,29347.59,5,10,5,2025,374
2025-05-11,23609.55,6,11,5,2025,375
2025-05-12,84495.62,0,12,5,2025,376
2025-05-13,55618.700000000004,1,13,5,2025,377
2025-05-14,44857.86,2,14,5,2025,378
2025-05-15,75152.08,3,15,5,2025,379
2025-05-16,51230.23,4,16,5,2025,380
2025-05-17,32386.730000000003,5,17,5,2025,381
2025-05-18,24147.92,6,18,5,2025,382
2025-05-19,68764.14,0,19,5,2025,383
2025-05-20,42829.630000000005,1,20,5,2025,384
2025-05-21,43340.32,2,21,5,2025,385
2025-05-22,48704.2,3,22,5,2025,386
2025-05-23,45774.95,4,23,5,2025,387
2025-05-24,27596.72,5,24,5,2025,388
2025-05-25,23779.09,6,25,5,2025,389
2025-05-26,41964.59,0,26,5,2025,390
2025-05-27,97894.68,1,27,5,2025,391
2025-05-28,71799.73,2,28,5,2025,392
2025-05-29,55571.979999999996,3,29,5,2025,393
2025-05-30,31612.190000000002,4,30,5,2025,394
2025-05-31,7125.57,5,31,5,2025,395
